pmid,doi,pmcid,title,authors_first,authors_last,journal,journal_iso,year,month,volume,issue,pages,citation_count,influential_citations,source_api,is_preprint,is_retracted,themes,theme_primary,relevance_score,priority_tier,notes
37046094,10.1038/s41586-023-05771-9,PMC10115647,Antibodies against endogenous retroviruses promote lung cancer immunotherapy.,Ng,Kassiotis,Nature,Nature,2023,4,616,7957,563-573,0,0,pubmed,False,True,theme_01; theme_09,theme_09,0.56,B,
40320401,10.1038/s41598-025-00222-z,PMC12050310,"Novel prognostic biomarkers in small cell lung cancer reveal mutational signatures, genomic mutations, and immune implications.",Li,Wang,Scientific reports,Sci Rep,2025,5,15,1,15592,0,0,pubmed,False,True,theme_01; theme_06,theme_06,0.45999999999999996,B,
24305048,10.1038/nature12785,PMC3886898,HMGA2 functions as a competing endogenous RNA to promote lung cancer progression.,Kumar,Downward,Nature,Nature,2014,1,505,7482,212-7,0,0,pubmed,False,True,theme_01,theme_01,0.41000000000000003,B,
32746878,10.1186/s13046-020-01648-1,PMC7397626,"Circular RNA circ-CPA4/ let-7 miRNA/PD-L1 axis regulates cell growth, stemness, drug resistance and immune evasion in non-small cell lung cancer (NSCLC).",Hong,Gao,Journal of experimental & clinical cancer research : CR,J Exp Clin Cancer Res,2020,8,39,1,149,0,0,pubmed,False,True,theme_08; theme_09,theme_09,0.38,C,
32214244,10.1038/s41586-020-2095-1,PMC7500457,Microbiome analyses of blood and tissues suggest cancer diagnostic approach.,Poore,Knight,Nature,Nature,2020,3,579,7800,567-574,0,0,pubmed,False,True,theme_01; theme_12,theme_12,0.37,C,
38843589,10.1016/j.biopha.2024.116833,,Unveiling the potential of FOXO3 in lung cancer: From molecular insights to therapeutic prospects.,Ebrahimnezhad,Yousefi,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,Biomed Pharmacother,2024,7,176,,116833,0,0,pubmed,False,True,theme_01,theme_01,0.36,C,
36046454,10.1155/2022/1755460,PMC9424001,Lung Cancer Classification and Prediction Using Machine Learning and Image Processing.,Nageswaran,Asenso,BioMed research international,Biomed Res Int,2022,0,2022,,1755460,0,0,pubmed,False,True,theme_04,theme_04,0.36,C,
36866239,10.1155/2023/8607062,PMC9974282,"Integrative Nomogram of Computed Tomography Radiomics, Clinical, and Tumor Immune Features for Analysis of Disease-Free Survival of NSCLC Patients with Surgery.",Xiu,Cheng,Journal of oncology,J Oncol,2023,0,2023,,8607062,0,0,pubmed,False,True,theme_04,theme_04,0.35000000000000003,C,
39299968,10.1007/s10143-024-02920-0,,"Comment on, ""Survival prediction of glioblastoma patients-are we there yet? A systematic review of prognostic modeling for glioblastoma and its clinical potential"".",Chellapandian,Jeyachandran,Neurosurgical review,Neurosurg Rev,2024,9,47,1,647,0,0,pubmed,False,True,theme_04,theme_04,0.35000000000000003,C,
40884456,10.1093/bfgp/elaf009,PMC12397973,Integration of single cell multiomics data by deep transfer hypergraph neural network.,Kan,Shi,Briefings in functional genomics,Brief Funct Genomics,2025,1,24,,,0,0,pubmed,False,True,theme_02,theme_02,0.33,C,
37181405,10.1155/2023/2986379,PMC10175011,18F-FDG PET/CT Image Deep Learning Predicts Colon Cancer Survival.,Tian,Chen,Contrast media & molecular imaging,Contrast Media Mol Imaging,2023,0,2023,,2986379,0,0,pubmed,False,True,theme_04,theme_04,0.33,C,
39221858,10.1111/srt.70040,PMC11367666,A novel Skin lesion prediction and classification technique: ViT-GradCAM.,Shafiq,Alemayehu,Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),Skin Res Technol,2024,9,30,9,e70040,0,0,pubmed,False,True,theme_04,theme_04,0.33,C,
39577840,10.1055/a-2458-7088,,"Prediction of the Survival Status, Immunotherapy Response, and Medication of Lung Adenocarcinoma Patients Based on Hypoxia- and Apoptosis-Related Genes.",Shi,Geng,Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme,Horm Metab Res,2025,1,57,1,55-66,0,0,pubmed,False,True,theme_01; theme_03; theme_09,theme_03,0.31,C,
36159563,10.1155/2022/5702014,PMC9492367,Evaluation of lncRNA FOXD3-AS1 as a Biomarker for Early-Stage Lung Cancer Diagnosis and Subtype Identification.,Liu,Zhu,Evidence-based complementary and alternative medicine : eCAM,Evid Based Complement Alternat Med,2022,0,2022,,5702014,0,0,pubmed,False,True,theme_01,theme_01,0.30000000000000004,C,
35155681,10.1155/2022/7858477,PMC8837434,Establishment and External Validation of a Hypoxia-Derived Gene Signature for Robustly Predicting Prognosis and Therapeutic Responses in Glioblastoma Multiforme.,Wang,Yang,BioMed research international,Biomed Res Int,2022,0,2022,,7858477,0,0,pubmed,False,True,theme_04,theme_04,0.30000000000000004,C,
41501145,10.1038/s41598-025-34750-5,PMC12868767,LungGANDetectAI: a GAN-augmented and attention-guided deep learning framework for accurate and explainable lung cancer detection.,Sudeshna,Rao,Scientific reports,Sci Rep,2026,1,16,1,4676,0,0,pubmed,False,True,theme_04,theme_04,0.3,C,
23149922,10.1158/0008-5472.CAN-12-2220,,MIG-7 controls COX-2/PGE2-mediated lung cancer metastasis.,Ho,Liang,Cancer research,Cancer Res,2013,1,73,1,439-49,0,0,pubmed,False,True,theme_08,theme_08,0.29000000000000004,C,
27840279,10.1016/j.semcancer.2016.11.007,,"Regulatory roles of epigenetic modulators, modifiers and mediators in lung cancer.",Shi,Wang,Seminars in cancer biology,Semin Cancer Biol,2017,2,42,,4-12,0,0,pubmed,False,True,theme_08,theme_08,0.29000000000000004,C,
20670944,10.1158/1078-0432.CCR-10-0089,PMC2952544,Molecular analysis of non-small cell lung cancer identifies subsets with different sensitivity to insulin-like growth factor I receptor inhibition.,Gualberto,Lee,Clinical cancer research : an official journal of the American Association for Cancer Research,Clin Cancer Res,2010,9,16,18,4654-65,0,0,pubmed,False,True,theme_01,theme_01,0.28,C,
35378943,10.1155/2022/3972298,PMC8976635,Models of Artificial Intelligence-Assisted Diagnosis of Lung Cancer Pathology Based on Deep Learning Algorithms.,Chen,Chen,Journal of healthcare engineering,J Healthc Eng,2022,0,2022,,3972298,0,0,pubmed,False,True,theme_04,theme_04,0.28,C,
32925716,10.1097/MD.0000000000021788,PMC7489660,Characterization of gut microbiota in patients with primary hepatocellular carcinoma received immune checkpoint inhibitors: A Chinese population-based study.,Li,Ye,Medicine,Medicine (Baltimore),2020,9,99,37,e21788,0,0,pubmed,False,True,theme_09,theme_09,0.28,C,
38965791,10.1111/srt.13841,PMC11224128,The causal effect of atopic dermatitis on lung cancer: A Mendelian randomization study.,Huang,Li,Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),Skin Res Technol,2024,7,30,7,e13841,0,0,pubmed,False,True,theme_01,theme_01,0.27,C,
30148675,10.1096/fj.201800408R,,Long noncoding RNA NSCLCAT1 increases non-small cell lung cancer cell invasion and migration through the Hippo signaling pathway by interacting with CDH1.,Zhao,Yu,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,FASEB J,2019,1,33,1,1151-1166,0,0,pubmed,False,True,theme_01,theme_01,0.26,C,
35178454,10.1155/2022/7587398,PMC8845143,Understanding the Critical Role of Glycolysis-Related lncRNAs in Lung Adenocarcinoma Based on Three Molecular Subtypes.,Cao,Li,BioMed research international,Biomed Res Int,2022,0,2022,,7587398,0,0,pubmed,False,True,theme_01,theme_01,0.26,C,
38844700,10.1208/s12249-024-02834-6,,Revolutionizing Lung Cancer Treatment: Innovative CRISPR-Cas9 Delivery Strategies.,Singh,Singh,AAPS PharmSciTech,AAPS PharmSciTech,2024,6,25,5,129,0,0,pubmed,False,True,theme_01,theme_01,0.26,C,
34447527,10.1155/2021/9971325,PMC8384550,Evaluation of the Effectiveness of Artificial Intelligence Chest CT Lung Nodule Detection Based on Deep Learning.,Liang,Fu,Journal of healthcare engineering,J Healthc Eng,2021,0,2021,,9971325,0,0,pubmed,False,True,theme_04,theme_04,0.26,C,
35360550,10.1155/2022/2864170,PMC8964156,"The Value of Artificial Intelligence Film Reading System Based on Deep Learning in the Diagnosis of Non-Small-Cell Lung Cancer and the Significance of Efficacy Monitoring: A Retrospective, Clinical, Nonrandomized, Controlled Study.",Chen,Fan,Computational and mathematical methods in medicine,Comput Math Methods Med,2022,0,2022,,2864170,0,0,pubmed,False,True,theme_04,theme_04,0.26,C,
35937383,10.1155/2022/9900668,PMC9348925,Classification and Detection of Mesothelioma Cancer Using Feature Selection-Enabled Machine Learning Technique.,Shobana,Rahmani,BioMed research international,Biomed Res Int,2022,0,2022,,9900668,0,0,pubmed,False,True,theme_04,theme_04,0.26,C,
36193309,10.1155/2022/7352489,PMC9526607,Artificial Neural Network Assisted Cancer Risk Prediction of Oral Precancerous Lesions.,Chen,Zhu,BioMed research international,Biomed Res Int,2022,0,2022,,7352489,0,0,pubmed,False,True,theme_04,theme_04,0.26,C,
