pmid,doi,pmcid,title,authors_first,authors_last,journal,journal_iso,year,month,volume,issue,pages,citation_count,influential_citations,source_api,is_preprint,is_retracted,themes,theme_primary,relevance_score,priority_tier,notes
29988129,10.1038/s41591-018-0096-5,,Phenotype molding of stromal cells in the lung tumor microenvironment.,Lambrechts,Thienpont,Nature medicine,Nat Med,2018,8,24,8,1277-1289,1355,94,pubmed,False,False,theme_12,theme_12,1.0,A,
32015526,10.1038/s41588-019-0569-6,,Genomic landscape of lung adenocarcinoma in East Asians.,Chen,Zhai,Nature genetics,Nat Genet,2020,2,52,2,177-186,3,0,pubmed,False,False,theme_12,theme_12,1.0,A,
38782901,10.1038/s41467-024-48700-8,PMC11116453,Single-cell and spatial transcriptomics analysis of non-small cell lung cancer.,De Zuani,Cvejic,Nature communications,Nat Commun,2024,5,15,1,4388,0,0,pubmed,False,False,theme_12,theme_12,0.66,B,
31451693,10.1038/s41467-019-11808-3,PMC6710267,Liquid biopsy-based single-cell metabolic phenotyping of lung cancer patients for informative diagnostics.,Li,Shi,Nature communications,Nat Commun,2019,8,10,1,3856,0,0,pubmed,False,False,theme_12,theme_12,0.59,B,
37055640,10.1038/s41586-023-05776-4,PMC7614605,Tracking early lung cancer metastatic dissemination in TRACERx using ctDNA.,Abbosh,Swanton,Nature,Nature,2023,4,616,7957,553-562,0,0,pubmed,False,False,theme_12,theme_12,0.56,B,
40016452,10.1038/s41591-025-03530-z,PMC12323702,Single-cell and spatial genomic landscape of non-small cell lung cancer brain metastases.,Tagore,Izar,Nature medicine,Nat Med,2025,4,31,4,1351-1363,0,0,pubmed,False,False,theme_12,theme_12,0.56,B,
40147443,10.1016/j.cell.2025.03.018,,A single-cell atlas reveals immune heterogeneity in anti-PD-1-treated non-small cell lung cancer.,Liu,Zhang,Cell,Cell,2025,5,188,11,3081-3096.e19,0,0,pubmed,False,False,theme_12,theme_12,0.54,B,
41205598,10.1016/j.cell.2025.10.020,,Longitudinal ultrasensitive ctDNA monitoring for high-resolution lung cancer risk prediction.,Black,Swanton,Cell,Cell,2025,12,188,25,7083-7098.e18,0,0,pubmed,False,False,theme_12,theme_12,0.54,B,
41387456,10.1038/s41467-025-66780-y,PMC12780107,Microbiome analysis of 940 lung cancers in never-smokers reveals lack of clinically relevant associations.,McElderry,Landi,Nature communications,Nat Commun,2025,12,17,1,192,0,0,pubmed,False,False,theme_12,theme_12,0.54,B,
41491099,10.1038/s41591-025-04060-4,PMC12823406,AI-enabled virtual spatial proteomics from histopathology for interpretable biomarker discovery in lung cancer.,Li,Li,Nature medicine,Nat Med,2026,1,32,1,231-244,0,0,pubmed,False,False,theme_12,theme_12,0.54,B,
